PopNum,NewSiteCode,Latitude,Longitude,range,ecoregion,region,countryORstate,Ann.Mean.Tmp,Mean.Diurn.Rng,Isotherm,Tmp.Seas,Max.Tmp.Wrm.M,Min.Tmp.Cld.M,Tmp.Ann.Rng,Mean.Tmp.Wet.Q,Mean.Tmp.Dry.Q,Mean.Tmp.Wrm.Q,Mean.Tmp.Cld.Q,Ann.Prc,Prc.Wet.M,Prc.Dry.M,Prc.Seas,Prc.Wet.Q,Prc.Dry.Q,Prc.Wrm.Q,Prc.Cld.Q,cmi_max,cmi_mean,cmi_min,cmi_range,gdd0,gdd5,gdd10,gddlgd10,gdgfgd10,gsl,gsp,gst,hurs_max,hurs_mean,hurs_min,hurs_range,ngd0,ngd5,ngd10,npp,pet_penman_max,pet_penman_mean,pet_penman_min,pet_penman_range,rsds_max,rsds_mean,rsds_min,rsds_range,scd,sfcWind_max,sfcWind_mean,sfcWind_min,sfcWind_range,vpd_max,vpd_mean,vpd_min,vpd_range,elev
25,IronCreek_NM,32.90961,-107.8039,invaded,WESTERN_CORDILLERA,Wrockies,New_Mexico,2836,125,4.070000172,6980,2999,2691,308,2912,2835,2924,2746,5665,1183,163,706,3039,611,2660,959,15,-550,-1335,1349,38164,23280,12346,293,106,160,5309,2837,5392,4732,3933,1459,365,252,188,9123,16386,10074,3477,12909,28558,20757,11955,16603,0,2089,1591,1126,963,13838,7381,3274,10564,2415
26,GilaSpgs_NM,33.23028,-108.25768,invaded,WESTERN_CORDILLERA,Wrockies,New_Mexico,2856,133,4.329999924,6661,3016,2709,307,2929,2898,2939,2769,4261,889,128,684,2215,455,1888,817,-40,-667,-1448,1408,45583,28455,15982,307,93,129,4261,2841,5511,4976,4381,1130,365,288,215,7160,16287,10114,3641,12646,28432,20569,11974,16458,0,1493,1131,735,758,14009,7949,3693,10316,1806
27,Carlisle1,40.206715,-77.186863,invaded,SOUTHEASTERN_PLAINS_FORESTS,Erockies,Pennsylvania,2851,93,2.74000001,8777,3023,2683,340,2942,2736,2964,2736,10290,1064,681,132,3002,2160,2840,2160,556,36,-535,1092,44182,29838,18229,303,99,283,8517,2885,5931,5767,5532,399,324,258,205,14472,15063,7973,2223,12840,22105,14507,6298,15807,70,2660,2304,1758,902,12688,6787,2472,10216,143
28,Milford1,42.153639,-71.489122,invaded,MIXED_WOOD_PLAINS,Erockies,Massachusetts,2834,92,2.630000114,8692,3012,2661,351,2791,2939,2946,2722,13364,1268,990,90,3622,3090,3220,3202,929,312,-488,1417,38681,25279,14620,296,112,247,9050,2881,5997,5801,5590,407,299,241,185,14286,14950,7703,2169,12782,21115,14083,6063,15052,113,3224,2896,2404,820,11577,5986,2189,9388,93
29,Vernon1,42.737524,-72.470337,invaded,MIXED_WOOD_PLAINS,Erockies,Vermont,2824,99,2.619999886,9447,3010,2633,377,2837,2712,2945,2700,11246,1061,803,69,3002,2549,2865,2585,701,155,-537,1238,36910,24288,14160,289,113,228,7277,2884,6026,5822,5594,432,277,229,177,13399,14830,7534,2041,12789,21083,13871,5578,15505,132,3026,2659,2128,897,11535,5771,1819,9716,106
30,WRJ1,43.647715,-72.317936,invaded,MIXED_WOOD_PLAINS,Erockies,New_Hampshire,2808,97,2.5,9933,2995,2607,388,2933,2676,2933,2676,9811,1002,675,130,2758,2061,2758,2061,581,126,-393,974,33399,21607,12178,282,118,213,6371,2879,6050,5903,5615,435,258,213,165,12006,13538,6647,1357,12181,20780,13595,5249,15531,146,2126,1871,1465,661,10404,5194,1433,8971,138
31,Libbytown1,43.64944444,-70.28491667,invaded,MIXED_WOOD_PLAINS,Erockies,Maine,2815,54,1.870000005,7988,2954,2665,289,2788,2915,2915,2713,12950,1344,843,140,3761,2883,2941,2891,926,271,-525,1451,32618,19918,10152,293,130,231,8342,2865,6128,5912,5693,435,284,225,164,12610,14724,7745,2548,12176,21596,14045,5427,16169,129,4371,3710,2967,1405,8883,5006,2001,6882,15
32,Edmonton1,53.517284,-113.494199,invaded,GREAT_PLAINS,Erockies,Alberta,2763,101,2.619999886,10432,2960,2576,384,2891,2625,2891,2625,4512,970,113,692,2290,469,2290,469,118,-235,-615,733,23717,13871,6029,263,131,175,3469,2856,6513,5848,5255,1258,214,179,133,7524,13349,5999,771,12578,22636,13033,2817,19819,171,2753,2615,2359,394,8327,4181,928,7399,659
33,Port Clinton1,41.539096,-82.861798,invaded,MIXED_WOOD_PLAINS,Erockies,Ohio,2838,60,1.809999943,9593,3001,2670,331,2936,2721,2959,2713,9704,1088,516,216,3047,1703,2918,1760,366,-175,-878,1245,40669,27666,16917,300,109,245,7236,2892,6317,5979,5747,570,285,237,192,13879,18073,9570,3054,15019,23537,14930,5501,18036,115,5953,5189,4082,1871,12230,6188,1832,10398,174
34,MillikenMills1,43.837838,-79.305063,invaded,MIXED_WOOD_PLAINS,Erockies,Ontario,2809,71,2.130000114,9168,2977,2645,332,2925,2696,2925,2693,8905,860,583,130,2488,1819,2488,1900,583,12,-636,1220,32281,20440,11137,288,129,213,5673,2874,6207,5890,5515,692,262,213,160,12092,14517,7064,1745,12772,22662,13901,4614,18048,146,3484,2915,2362,1122,10344,5170,1626,8718,192
35,Birchmount1,43.826133,-79.318092,invaded,MIXED_WOOD_PLAINS,Erockies,Ontario,2810,71,2.140000105,9139,2978,2645,333,2925,2697,2925,2694,8839,856,579,130,2474,1806,2474,1884,578,8,-639,1217,32357,20500,11193,288,129,215,5682,2873,6198,5888,5520,678,262,212,160,12178,14483,7049,1732,12751,22660,13923,4642,18018,145,3380,2828,2293,1087,10371,5184,1635,8736,188
37,ClevelandNF1,32.867867,-116.46128,invaded,MARINE_WEST_COAST_FOREST,Wrockies,California,2854,131,4.460000038,5918,3028,2734,294,2792,2907,2933,2784,4991,1004,32,813,2703,209,370,2590,329,-800,-1881,2210,44731,26503,13895,309,110,231,4959,2819,4816,4265,3624,1192,365,346,200,8203,19692,12063,4872,14820,30709,21453,11545,19164,0,3010,2518,2028,982,15435,8953,4756,10679,1729
38,GinBeach1,41.07747,-71.93631,invaded,SOUTHEASTERN_PLAINS_FORESTS,Erockies,New_York,2842,34,1.470000029,7105,2958,2724,234,2808,2898,2935,2753,12123,1235,868,107,3329,2773,2861,3021,524,2,-822,1346,40492,24899,13568,317,124,365,12123,2842,6535,6045,5723,812,365,260,194,15000,16679,9819,4605,12073,23123,15119,6098,17025,0,7118,5853,4596,2522,8812,5550,2886,5926,-6
39,Comox1,49.739722,-124.924412,invaded,MARINE_WEST_COAST_FOREST,Wrockies,British_Columbia,2839,56,2.730000019,5146,2962,2756,206,2784,2908,2908,2778,15408,2522,370,606,7284,1349,1349,6346,2185,501,-1110,3296,39358,21437,9840,295,112,365,15408,2839,6933,6256,5662,1271,365,294,184,14732,14603,7364,2303,12299,21858,11799,2397,19461,0,4620,3973,3370,1250,9227,5286,2584,6643,16
40,ClarkIsland1,48.68,-122.795,invaded,MARINE_WEST_COAST_FOREST,Wrockies,Washington,2830,24,2.130000114,3181,2891,2778,113,2796,2869,2873,2791,9757,1586,257,493,4154,1065,1085,3409,1317,164,-1015,2332,35997,17747,4995,297,127,365,9757,2830,6593,6277,6060,533,365,365,171,13930,12627,6214,2255,10372,22709,11664,1927,20782,0,3504,2775,2109,1395,6464,4639,3184,3280,-59
41,Oshkosh1,44.1,-88.63,invaded,MIXED_WOOD_PLAINS,Erockies,Wisconsin,2811,77,2.019999981,10394,2999,2619,380,2942,2673,2942,2673,7868,1133,275,418,3000,903,3000,903,186,-199,-725,911,34761,23040,13435,287,118,222,6239,2883,6398,5930,5537,861,255,214,170,11869,16420,8344,2155,14265,22398,14231,5641,16757,133,4906,4485,3686,1220,11265,5491,1306,9959,239
42,SuciaIsland1,48.750956,-122.89384,invaded,MARINE_WEST_COAST_FOREST,Wrockies,Washington,2830,27,2.200000048,3411,2898,2775,123,2794,2873,2876,2789,7967,1238,222,478,3360,898,927,2812,727,-219,-1251,1978,36154,17904,5427,296,125,365,7967,2831,6142,5933,5785,357,365,365,172,11983,14644,8597,4479,10165,24116,13248,3066,21050,0,6064,4839,3662,2402,7141,5096,3541,3600,-9
43,FinelyNWR1,44.396573,-123.321829,invaded,MARINE_WEST_COAST_FOREST,Wrockies,Oregon,2847,109,4.139999866,5070,3009,2746,263,2789,2915,2915,2785,15487,2857,128,703,7718,695,695,7093,2488,440,-1511,3999,42084,23966,11035,301,105,327,15487,2840,7268,6326,5491,1777,365,330,197,15446,16371,8063,2073,14298,25537,14110,4061,21476,0,3109,2828,2556,554,9965,5528,2326,7639,95
